9449,10201
8100,6724
5476,4096
1936,9
2809,7744
10404,9409
7569,5625
4489,5184
5041,1600
36,3844
96,900
5329,10201
11449,10201
8100,6724
5476,4096
1936,9
2809,7744
10404,9409
7569,5625
4489,5184
5041,1600
36,3844
9604,11236
11025,9409
6889,5329
4761,3721
1600,49
3969,10816
13456,11449
7744,5041
3844,3844
3025,169
1156,6084
10609,11449
8836,5041
3721,5041
6084,3721
676,576
4624,8836
10000,8464
6241,5184
4761,4761
3136,144
1369,6084
9801,10000
8649,6889
5476,5625
5329,2025
9,1936
6561,8464
7921,6241
4900,5329
5776,5329
2401,9
3249,8836
11881,11449
9025,6084
4356,4761
4900,1849
0,2500
7921,11664
11881,10404
7921,7056
5476,2304
196,1369
6889,11664
12321,9216
6724,5476
4900,5329
4096,529
625,4225
8464,10000
9409,7396
5776,5929
6241,4096
900,529
5184,10404
12100,10816
8464,7921
7225,5776
2916,16
2209,7569
10404,9801
7569,5041
4356,5929
6241,2401
1,2704
9025,14161
13924,10404
7056,5776
5184,3721
1600,36
3025,7744
10201,9604
7921,6561
5476,5476
4624,961
225,3600
8464,10609
10609,8464
6400,6241
6400,4489
1024,676
6400,12769
13689,10404
6724,4624
3600,2809
1369,16
2704,8649
12321,11881
8464,5184
3249,3481
3721,1369
1,1681
5929,8836
9216,7569
6084,6084
5776,3721
1024,441
5041,11025
12544,9025
5625,3364
2401,2601
3249,1156
81,2916
6889,8836
7921,5929
4096,3969
3481,1849
441,324
3481,7921
10000,9025
8649,8649
7744,6889
3844,64
2209,8836
13225,12996
10000,6561
3844,3025
3136,1849
100,1521
6561,10609
11236,8836
6084,5184
5329,4489
2601,49
1764,6400
9604,10201
8649,6241
4900,5329
5041,1600
36,3136
8464,12100
12100,9216
6724,5929
5184,3249
961,225
3844,8649
10816,9604
7225,5184
3721,3844
3249,529
576,4761
9604,11881
10404,7056
4489,3969
4096,2209
484,289
3600,7921
9604,8100
6241,5776
5625,5625
4356,784
625,5625
12100,15876
14400,10609
6561,4761
4096,1444
16,1296
4624,7225
8464,8649
7744,7921
7744,6084
2401,36
3721,9801
13225,12769
10816,8836
7056,6561
5184,900
484,5329
10609,12100
