676,625
256,1
484,1936
1444,900
529,484
484,324
49,121
900,1521
1521,1156
1369,1681
1296,841
484,361
441,441
196,9
576,1521
2116,1936
1444,900
529,484
484,324
49,121
900,1521
1521,1156
729,324
225,256
324,100
36,576
1521,2025
1936,1296
784,529
484,484
361,9
289,1089
1681,1681
1296,729
441,361
484,361
81,100
900,1764
2025,1681
1156,676
400,529
576,324
4,289
1156,1600
1521,1089
676,441
324,361
256,1
324,1225
1936,2025
1521,961
529,441
529,484
196,16
625,1444
1764,1444
1024,529
289,324
361,144
0,400
1444,2025
1849,1296
729,441
324,441
484,100
49,676
1444,1764
1444,961
576,400
441,400
196,16
676,1681
2209,2025
1444,900
529,484
576,400
81,100
841,1521
1681,1225
729,400
256,324
400,121
16,576
1521,1936
1849,1296
841,625
576,576
400,9
324,1225
1764,1681
1296,729
400,361
400,256
25,169
1156,1936
2209,1600
961,484
256,324
441,196
0,361
1156,1681
1600,1089
576,361
324,361
324,9
256,1156
1936,2025
1764,1156
784,625
676,576
169,36
729,1600
1849,1444
841,400
225,289
361,196
1,289
1156,1849
1936,1444
900,484
400,484
529,144
25,576
1369,1764
1521,1024
625,484
484,441
196,9
625,1521
2116,2025
1444,900
529,529
676,441
81,121
961,1849
1936,1521
841,441
256,361
400,100
49,784
1936,2401
2116,1444
841,625
576,625
400,4
400,1444
2116,2025
1444,841
441,441
529,361
64,144
1296,2304
2704,2116
1369,729
441,529
676,256
4,625
1764,2304
2025,1225
625,361
361,484
361,4
441,1681
2704,2704
2116,1296
841,676
729,576
144,100
1024,2025
2209,1681
1089,529
324,400
529,169
25,784
2025,2500
2209,1296
729,529
484,625
441,4
441,1600
2401,2304
1521,841
441,324
400,289
36,225
1444,2601
2916,2401
1521,729
400,441
484,169
25,729
1849,2401
2025,1296
676,441
324,361
225,4
625,1936
2916,2809
2116,1225
729,625
625,400
64,169
1296,2401
2500,1849
1024,484
256,324
361,100
49,841
2209,2704
2304,1521
900,576
576,625
400,1
484,1681
2500,2304
1681,1024
529,484
484,324
25,289
1600,2704
2916,2209
1369,676
400,484
529,169
25,729
1936,2401
1936,1296
676,400
361,400
225,4
625,1936
2809,2704
1936,1156
625,576
625,441
81,169
1225,2209
2401,1764
1089,484
256,324
400,100
64,841
2209,2704
2304,1681
961,676
625,625
441,4
484,1600
2401,2304
1600,1024
576,484
529,361
25,289
1521,2704
2916,2209
1369,729
400,484
529,169
25,729
