25,4
0,0
0,1
9,25
36,36
25,9
1,0
1,9
16,25
36,36
49,81
100,64
36,16
1,0
0,0
0,1
9,25
36,16
4,0
0,9
9,9
4,1
4,9
25,49
64,64
49,36
16,4
4,9
9,1
1,16
49,64
64,36
9,1
1,4
9,25
49,81
144,169
144,81
36,4
1,4
16,9
1,4
9,9
4,0
0,4
9,9
9,1
0,0
0,9
25,64
81,81
64,36
25,9
9,4
1,1
25,64
81,81
64,25
1,1
9,25
36,49
81,121
144,121
64,36
4,0
1,4
1,0
1,1
9,9
4,1
0,0
1,1
0,0
0,0
9,36
100,121
121,121
81,25
9,4
0,0
9,25
64,81
81,36
9,0
4,25
25,25
36,49
64,81
81,64
25,4
1,0
1,0
0,0
0,1
9,16
9,9
1,0
1,4
4,1
1,9
49,100
144,144
100,64
16,1
0,0
1,4
16,36
64,64
49,16
1,0
9,16
16,16
25,36
64,100
121,81
49,25
4,0
0,0
0,1
4,16
36,36
16,4
0,1
4,4
9,16
25,81
100,121
100,49
16,4
0,0
0,0
1,1
9,25
16,16
4,0
1,1
1,1
0,4
25,49
81,121
100,64
49,16
4,4
1,0
1,9
36,49
49,36
9,0
1,9
16,9
9,16
36,64
100,100
81,25
9,0
0,0
1,1
1,16
36,36
36,16
4,0
4,9
16,16
16,25
64,81
121,100
49,16
1,0
1,1
1,1
9,16
36,25
9,0
1,9
9,9
4,1
9,16
36,64
64,64
36,25
16,4
1,0
0,0
4,25
25,36
16,4
0,1
9,9
4,4
16,49
81,100
121,81
36,9
0,0
1,0
0,0
4,16
25,25
9,1
0,1
1,4
1,1
16,36
64,100
121,81
49,16
4,1
1,0
0,1
25,25
49,25
16,4
0,4
9,9
9,16
64,81
100,81
64,36
9,0
0,0
0,0
0,1
16,16
25,16
4,0
1,4
4,4
9,16
25,64
81,100
64,49
16,1
0,0
0,0
1,9
25,36
25,9
4,0
4,16
25,9
9,16
49,81
81,81
64,36
9,1
0,0
0,0
4,16
36,36
49,16
4,0
4,9
16,16
25,25
49,81
81,81
49,16
4,0
0,0
0,0
4,16
36,36
25,9
1,1
4,9
9,9
16,25
64,100
100,100
49,25
4,0
0,0
0,1
9,25
36,16
9,4
0,1
9,16
9,4
16,36
81,81
100,64
36,16
1,0
0,0
0,0
9,25
36,36
16,4
0,1
4,4
1,4
16,36
100,121
121,81
49,16
1,0
0,0
0,0
9,25
49,36
16,4
0,1
4,4
4,9
36,64
81,121
81,64
16,9
0,0
0,1
0,4
25,36
36,25
4,0
1,9
9,4
4,9
36,64
121,121
81,49
16,1
0,0
0,0
1,16
36,36
36,16
4,0
1,9
9,16
16,25
49,100
100,100
64,25
4,0
0,0
0,0
9,25
49,36
25,9
1,1
4,16
16,16
25,49
81,100
100,64
36,9
1,0
0,0
0,1
9,16
25,25
9,1
0,1
4,4
1,1
16,49
81,121
121,81
36,9
1,0
0,0
0,4
16,25
25,25
9,1
0,4
4,4
4,4
25,64
100,121
100,64
25,4
1,0
0,0
1,4
16,36
36,25
16,4
0,9
9,9
9,16
49,81
100,121
81,36
16,1
0,0
0,0
1,9
36,36
36,16
9,0
4,16
25,25
16,16
36,64
100,100
49,25
4,0
0,0
0,0
4,16
25,25
25,4
0,1
9,16
16,9
16,25
64,81
100,64
36,16
1,0
0,0
0,1
4,25
25,36
16,4
0,1
9,4
1,4
16,49
81,121
100,81
36,9
1,0
0,0
0,0
9,25
25,25
16,1
0,4
9,4
4,9
25,64
100,121
81,64
16,9
0,0
0,0
1,9
25,25
36,16
4,0
0,4
9,9
9,16
49,81
100,121
81,36
16,1
0,0
0,0
1,9
25,36
36,25
9,0
1,16
16,9
9,16
25,81
100,100
64,49
16,1
0,0
0,0
4,16
36,36
36,9
1,1
4,9
16,16
25,36
64,100
100,81
36,16
1,1
1,0
1,4
9,16
36,25
25,4
0,4
9,9
4,9
25,49
81,121
100,64
36,9
4,0
0,0
0,4
9,25
36,25
16,4
0,4
4,4
4,9
36,64
100,100
100,64
36,9
1,0
0,0
1,9
25,36
36,16
4,0
1,9
16,9
9,9
25,49
100,81
81,36
16,4
0,0
0,0
1,4
25,36
36,16
4,0
4,9
16,16
16,16
49,81
81,100
49,25
4,0
0,0
0,0
1,16
25,49
25,16
4,0
4,9
9,9
16,36
49,81
121,81
64,16
4,0
0,0
0,0
4,16
25,25
25,9
0,1
1,9
9,9
16,25
64,81
100,64
36,16
1,0
0,0
0,1
9,16
36,25
16,9
0,4
9,16
9,9
16,36
81,100
121,64
36,9
0,0
0,0
0,1
9,25
36,36
9,1
4,9
16,9
4,9
36,64
100,100
81,36
16,4
0,0
0,0
1,9
25,25
36,16
9,0
4,16
16,9
9,9
36,64
100,100
64,49
16,1
0,0
0,0
1,9
25,36
36,16
4,0
4,9
9,9
9,16
49,100
121,100
81,36
9,1
0,0
0,0
4,25
36,36
25,9
1,0
4,9
9,9
9,16
36,81
100,100
49,25
9,1
1,0
0,0
1,9
25,36
25,16
1,1
4,9
9,4
9,25
36,81
100,81
49,16
1,0
0,0
0,0
4,16
25,36
16,9
1,1
4,9
16,9
16,36
81,100
100,81
25,9
4,0
0,0
0,0
9,25
49,36
16,4
0,4
9,9
9,16
36,49
100,100
121,81
25,4
0,0
1,1
4,9
25,49
49,25
9,0
1,9
16,16
9,16
36,64
100,81
64,36
16,4
0,1
0,0
1,4
9,16
16,16
4,0
1,4
4,4
4,9
25,81
100,100
81,49
16,4
0,1
1,0
4,25
49,64
49,25
9,0
1,9
16,16
16,25
36,81
121,100
64,25
9,1
0,0
0,1
4,16
25,25
16,4
0,1
4,9
9,9
16,25
64,81
100,64
36,16
1,0
0,0
0,0
9,16
36,25
16,4
0,4
9,4
4,9
16,64
100,121
100,81
25,9
1,0
0,0
0,1
25,36
49,36
16,1
0,9
16,9
4,9
36,64
100,100
100,64
25,4
1,0
0,0
1,9
25,36
25,16
9,1
1,4
16,9
9,16
49,64
100,81
64,25
16,1
0,0
0,0
4,16
36,36
25,9
1,1
4,9
16,16
16,36
64,100
100,81
36,9
4,0
0,0
0,0
4,16
25,25
9,4
0,1
4,9
9,9
16,16
64,100
81,81
36,16
